//Talker Proprietary Manufacturer's Code
PAAR;Proprietary (Asian American Resources)
PHRC;Proprietary (Harco Manufacturing)
PHRT;Proprietary (Hart Systems)
PHTI;Proprietary (Heart Interface)
PHUL;Proprietary (Hull Electronics)
PHWM;Proprietary (Honeywell Marine Systems)
PICO;Proprietary (Icom of America)
PIFD;Proprietary (Int. Fishing Devices)
PIFI;Proprietary (Instruments for Industry)
PIME;Proprietary (Imperial Marine Equipment)
PIMI;Proprietary (I.M.I.)
PIMM;Proprietary (ITT MacKay Marine)
PIMP;Proprietary (Impulse Manufacturing)
PIMT;Proprietary (Int. Marketing and Trading)
PINM;Proprietary (Inmar Electronic and Sales)
PINT;Proprietary (Intech)
PIRT;Proprietary (Intera Technologies)
PIST;Proprietary (Innerspace Technology)
PITM;Proprietary (Intermarine Electronics)
PITR;Proprietary (Itera)
PJAN;Proprietary (Jan Crystals)
PJFR;Proprietary (Ray Jefferson)
PJMT;Proprietary (Japan Marine Telecommunications)
PJRC;Proprietary (Japan Radio)
PJRI;Proprietary (J-R Industries)
PJTC;Proprietary (J-Tech Associates)
PJTR;Proprietary (Jotron Radiosearch)
PKBE;Proprietary (KB Electronics)
PKBM;Proprietary (Kennebec Marine)
PKLA;Proprietary (Klein Associates)
PKMR;Proprietary (King Marine Radio)
PKNG;Proprietary (King Radio)
PKOD;Proprietary (Koden Electronics)
PKRP;Proprietary (Krupp Int.)
PKVH;Proprietary (KVH)
PKYI;Proprietary (Kyocera Int.)
PLAT;Proprietary (Latitude)
PLEC;Proprietary (Lorain Electronics)
PLMM;Proprietary (Lamarche Manufacturing)
PLRD;Proprietary (Lorad)
PLSE;Proprietary (Littlemore Scientific Engineering)
PLSP;Proprietary (Laser Plot)
PLTF;Proprietary (Littlefuse)
PLWR;Proprietary (Lowrance Electronics)
PMCL;Proprietary (Micrologic)
PMDL;Proprietary (Medallion Instruments)
PMEC;Proprietary (Marine Engine Center)
PMEG;Proprietary (Maritec Engineering)
PMES;Proprietary (Marine Electronics Service)
PMFR;Proprietary (Modern Products)
PMFW;Proprietary (Frank W. Murphy Manufacturing)
PMGN;Proprietary (Magellan)
PMGS;Proprietary (MG Electronic Sales)
PMIE;Proprietary (Mieco)
PMIM;Proprietary (Marconi Int. Marine)
PMLE;Proprietary (Martha Lake Electronics)
PMLN;Proprietary (Matlin)
PMLP;Proprietary (Marlin Products)
PMLT;Proprietary (Miller Technologies)
PMMB;Proprietary (Marsh-McBirney)
PMME;Proprietary (Marks Marine Engineering)
PMMP;Proprietary (Metal Marine Pilot)
PMMS;Proprietary (Mars Marine Systems)
PMNI;Proprietary (Micro-Now Instrument)
PMNT;Proprietary (Marine Technology)
PMNX;Proprietary (Marinex)
PMOT;Proprietary (Motorola)
PMPN;Proprietary (Memphis Net and Twine)
PMQS;Proprietary (Marquis Industries)
PMRC;Proprietary (Marinecomp)
PMRE;Proprietary (Morad Electronics)
PMRP;Proprietary (Mooring Products of New England)
PMRR;Proprietary (II Morrow)
PMRS;Proprietary (Marine Radio Service)
PMSB;Proprietary (Mitsubishi Electric)
PMSE;Proprietary (Master Electronics)
PMSM;Proprietary (Master Mariner)
PMST;Proprietary (Mesotech Systems)
PMTA;Proprietary (Marine Technical Associates)
PMTG;Proprietary (Narine Technical Assistance Group)
PMTK;Proprietary (Martech)
PMTR;Proprietary (Mitre)
PMTS;Proprietary (Mets)
PMUR;Proprietary (Murata Erie North America)
PMVX;Proprietary (Magnavox Advanced Products and Systems)
PMXX;Proprietary (Maxxima Marine)
PNAT;Proprietary (Nautech)
PNEF;Proprietary (New England Fishing Gear)
PNGS;Proprietary (Navigation Sciences)
PNMR;Proprietary (Newmar)
PNOM;Proprietary (Nav-Com)
PNOV;Proprietary (NovAtel Communications)
PNSM;Proprietary (Northstar Marine)
PNTK;Proprietary (Novatech Designs)
PNVC;Proprietary (Navico)
PNVO;Proprietary (Navionics)
PNVS;Proprietary (Navstar)
POAR;Proprietary (O.A.R.)
PODE;Proprietary (Ocean Data Equipment)
PODN;Proprietary (Odin Electronics)
POIN;Proprietary (Ocean instruments)
POKI;Proprietary (Oki Electronic Industry)
POLY;Proprietary (Navstar (Polytechnic Electronics))
POMN;Proprietary (Omnetics)
PORE;Proprietary (Ocean Research)
POTK;Proprietary (Ocean Technology)
PPCE;Proprietary (Pace)
PPDM;Proprietary (Prodelco Marine Systems)
PPLA;Proprietary (Plath, C. Division of Litton)
PPLI;Proprietary (Pilot Instruments)
PPMI;Proprietary (Pernicka Marine Products)
PPMP;Proprietary (Pacific Marine Products)
PPRK;Proprietary (Perko)
PPSM;Proprietary (Pearce-Simpson)
PPTC;Proprietary (Petro-Com)
PPTG;Proprietary (P.T.I./Guest)
PPTH;Proprietary (Pathcom)
PRAC;Proprietary (Racal Marine)
PRAE;Proprietary (RCA Astro-Electronics)
PRAY;Proprietary (Raytheon Marine)
PRCA;Proprietary (RCA Service)
PRCH;Proprietary (Roach Engineering)
PRCI;Proprietary (Rochester Instruments)
PRDI;Proprietary (Radar Devices)
PRDM;Proprietary (Ray-Dar Manufacturing)
PREC;Proprietary (Ross Engineering)
PRFP;Proprietary (Rolfite Products)
PRGC;Proprietary (RCS Global Communications)
PRGY;Proprietary (Regency Electronics)
PRME;Proprietary (Racal Marine Electronics)
PRMR;Proprietary (RCA Missile and Surface Radar)
PRSL;Proprietary (Ross Laboratories)
PRSM;Proprietary (Robertson-Shipmate, USA)
PRTN;Proprietary (Robertson Tritech Nyaskaien)
PRWI;Proprietary (Rockwell Int.)
PSAI;Proprietary (SAIT)
PSBR;Proprietary (Sea-Bird electronics)
PSCR;Proprietary (Signalcrafters)
PSEA;Proprietary (SEA)
PSEC;Proprietary (Sercel Electronics of Canada)
PSEP;Proprietary (Steel and Engine Products)
PSFN;Proprietary (Seafarer Navigation Int.)
PSGC;Proprietary (SGC)
PSIG;Proprietary (Signet)
PSIM;Proprietary (Simrad)
PSKA;Proprietary (Skantek)
PSKP;Proprietary (Skipper Electronics)
PSLI;Proprietary (Starlink)
PSME;Proprietary (Shakespeare Marine Electronics)
PSMF;Proprietary (Seattle Marine and Fishing Supply)
PSMI;Proprietary (Sperry Marine)
PSML;Proprietary (Simerl Instruments)
PSNV;Proprietary (Starnav)
PSOM;Proprietary (Sound Marine Electronics)
PSOV;Proprietary (Sell Overseas America)
PSPL;Proprietary (Spelmar)
PSPT;Proprietary (Sound Powered Telephone)
PSRD;Proprietary (SRD Labs)
PSRF;Proprietary (SiRF)
PSRS;Proprietary (Scientific Radio Systems)
PSRS;Proprietary (Shipmate, Rauff & Sorensen)
PSRT;Proprietary (Standard Radio and Telefon)
PSSI;Proprietary (Sea Scout Industries)
PSTC;Proprietary (Standard Communications)
PSTI;Proprietary (Sea-Temp Instrument)
PSTM;Proprietary (Si-Tex Marine Electronics)
PSVY;Proprietary (Savoy Electronics)
PSWI;Proprietary (Swoffer Marine Instruments)
PTBB;Proprietary (Thompson Brothers Boat Manufacturing)
PTCN;Proprietary (Trade Commission of Norway (THE))
PTDL;Proprietary (Tideland Signal)
PTHR;Proprietary (Thrane and Thrane)
PTLS;Proprietary (Telesystems)
PTMT;Proprietary (Tamtech)
PTNL;Proprietary (Trimble Navigation)
PTRC;Proprietary (Tracor)
PTSI;Proprietary (Techsonic Industries)
PTTK;Proprietary (Talon Technology)
PTTS;Proprietary (Transtector Systems)
PTWC;Proprietary (Transworld Communications)
PTXI;Proprietary (Texas Instruments)
PUBX;Proprietary (u-blox)
PUME;Proprietary (Umec)
PUNF;Proprietary (Uniforce Electronics)
PUNI;Proprietary (Uniden of America)
PUNP;Proprietary (Unipas)
PVAN;Proprietary (Vanner)
PVAR;Proprietary (Varian Eimac Associates)
PVCM;Proprietary (Videocom)
PVEX;Proprietary (Vexillar)
PVIS;Proprietary (Vessel Information Systems)
PVMR;Proprietary (Vast Marketing)
PWAL;Proprietary (Walport)
PWBG;Proprietary (Westberg Manufacturing)
PWEC;Proprietary (Westinghouse Electric)
PWHA;Proprietary (W-H Autopilots)
PWMM;Proprietary (Wait Manufacturing and Marine Sales)
PWMR;Proprietary (Wesmar Electronics)
PWNG;Proprietary (Winegard)
PWSE;Proprietary (Wilson Electronics)
PWST;Proprietary (West Electronics)
PWTC;Proprietary (Watercom)
PYAS;Proprietary (Yaesu Electronics)

